symbol,timestamp,ret_1d,ret_3d,ret_5d,vol_20d,vol_zscore,shap_ret_1d,shap_ret_3d,shap_ret_5d,shap_vol_20d,shap_vol_zscore,prediction,base_value
BATS.L,2025-11-13 19:00:00-05:00,-0.018085408049086094,-0.04052777104307215,-0.014043633495663621,0.013850714434425681,-0.5701438094182435,1.9981581068183753e-05,-4.852973102015286e-06,5.612451549394804e-06,-4.526946899131681e-05,3.55302551748001e-05,0.0008603387289686266,0.00084933688326958
LNG,2025-11-14 00:00:00-05:00,0.008860756505426837,0.015047181327388026,0.035064977195485625,0.010803592237871045,-0.16947517672763146,3.1989252697542085e-05,3.0364494214263327e-06,-4.9142952036298224e-05,-1.5226075420946421e-05,4.034517103732279e-05,0.0008603387289686266,0.00084933688326958
BP,2025-11-14 00:00:00-05:00,0.014975900453903623,-0.00839426810193633,0.01247862148999146,0.013718744004779099,-0.058998574346559966,3.4140235362476547e-05,1.1165093403629983e-05,1.1461124214433589e-05,-1.9375994974936263e-05,-2.6388612306557053e-05,0.0008603387289686266,0.00084933688326958
HSBC,2025-11-14 00:00:00-05:00,-0.00820128585950819,0.00041360512617893974,0.018100196103388422,0.011534097724316463,0.062231542063101976,2.574222030232281e-05,-3.084749218911042e-05,-4.205910232473463e-06,-4.482856476447277e-05,6.514159258278061e-05,0.0008603387289686266,0.00084933688326958
BLK,2025-11-14 00:00:00-05:00,-0.010947545724099506,-0.025622659849864338,-0.022417270326266947,0.011311845359430722,-0.6898541726049678,2.432553207555003e-05,-6.183402855800329e-07,7.655448692021118e-06,-2.767879620829385e-05,7.31800142534932e-06,0.0008603387289686266,0.00084933688326958
AAPL,2025-11-14 00:00:00-05:00,-0.0019784155368063328,-0.010317879520038598,0.015659417399946918,0.012291744694416795,-0.2528856710027647,4.570637284736418e-05,1.5414702782440162e-06,-2.0926268766301054e-06,-1.9312879534441667e-05,-1.4840491015489644e-05,0.0008603387289686266,0.00084933688326958
AZN,2025-11-14 00:00:00-05:00,0.0055298257577518495,0.00011227002628366733,0.05344048882967534,0.013900592458783435,-0.29572365272017714,6.353097278139128e-05,-1.724807092372477e-05,-5.738123851763274e-05,-1.6565586281795272e-05,6.448965097371109e-05,0.0008861626113015299,0.00084933688326958
JPM,2025-11-14 00:00:00-05:00,-0.01896745511343023,-0.03805214051485495,-0.03373549081303939,0.01334155704023953,2.097208299963957,-8.175963041842241e-05,-3.204943158995716e-05,1.6880860405485033e-05,-0.00018106914153072658,-0.00017000419941363076,0.00040133534072232726,0.00084933688326958
NVDA,2025-11-14 00:00:00-05:00,0.01771378990026884,-0.015479416591372974,0.010736086356496477,0.027817354630282252,0.0022098675870726946,-8.557407851595518e-05,-1.0202633330703402e-06,5.063274080468305e-05,0.00028608663180550517,-0.0002849416808604546,0.0008145202331702881,0.00084933688326958
SHEL,2025-11-14 00:00:00-05:00,0.007393322483666198,-0.006865419966275432,0.011791273379679446,0.010247009077180076,-0.2426152862684398,4.0680366769980906e-05,1.2598117503163971e-05,-1.4287772189428768e-06,-1.0960339990648231e-05,-2.9887521364507014e-05,0.0008603387289686266,0.00084933688326958
MSFT,2025-11-14 00:00:00-05:00,0.01368987469654015,0.0029487980822835436,0.026890986951198403,0.013061801404796113,0.6020593334466362,-6.9980460923665735e-06,-7.626202610630903e-05,-0.00013010641431475306,-9.2627764319371e-05,-0.00027866098969940394,0.00026468164273737613,0.00084933688326958
BATS.L,2025-11-16 19:00:00-05:00,0.021365409541010738,-0.019335055208634433,-0.0012008223152403241,0.01411053950787533,0.05119422714630112,-0.0001905169069775654,-3.0184392336927053e-06,-9.865565376405592e-06,-2.5666705525054172e-05,-5.773159511580269e-05,0.0005625376710410592,0.00084933688326958
BLK,2025-11-17 00:00:00-05:00,-0.03227024264365541,-0.06410839927531375,-0.054339903545739254,0.012847398670466923,1.41598806046287,-8.175963041842241e-05,-3.204943158995716e-05,1.6880860405485033e-05,-0.00018106914153072658,-0.00017000419941363076,0.00040133534072232726,0.00084933688326958
BP,2025-11-17 00:00:00-05:00,-0.0008212094251118796,0.0039624397145499035,-0.003069584152147864,0.013781596374131492,0.772456874160162,4.382994964149261e-05,-2.3181925025170788e-05,4.4339634991644935e-05,-6.298991881375308e-05,-7.314519739191167e-05,0.0007781894266718808,0.00084933688326958
AZN,2025-11-17 00:00:00-05:00,0.003367037675594986,0.019616802175143055,0.021947852026381165,0.013595046272565057,-0.45376921369943907,3.823222009589917e-05,2.5147039317426788e-05,-8.608311506224752e-07,-1.5941621099852707e-05,-3.557496146380421e-05,0.0008603387289686266,0.00084933688326958
NVDA,2025-11-17 00:00:00-05:00,-0.01877263779914551,-0.03715170741808971,-0.06254711379718891,0.028193013630019463,-0.2906824052795547,2.277319313055775e-05,-1.478466235908463e-06,0.0001738327205266873,3.1470290451773325e-05,-0.0002614143879724017,0.0008145202331702881,0.00084933688326958
HSBC,2025-11-17 00:00:00-05:00,-0.018467425344227073,-0.030888511485254955,-0.011382560860677016,0.012591637188204741,1.8578118188733703,-8.175963041842241e-05,-3.204943158995716e-05,1.6880860405485033e-05,-0.00018106914153072658,-0.00017000419941363076,0.00040133534072232726,0.00084933688326958
SHEL,2025-11-17 00:00:00-05:00,-0.004751855863258991,-0.0038231957679040196,-0.00577491493408655,0.01037868557005546,-0.15124014570199146,3.3829698602975915e-05,-3.5234532409631846e-05,-6.508559101896505e-06,-1.4518431820650678e-05,3.343367042824975e-05,0.0008603387289686266,0.00084933688326958
MSFT,2025-11-17 00:00:00-05:00,-0.005272633968357532,-0.007140974199454031,0.002944657443461063,0.013014009162693598,-0.7187494727543164,4.585754792117688e-05,1.1165093403629983e-05,8.707233103841136e-06,-3.614785650083618e-05,-1.8580172228765017e-05,0.0008603387289686266,0.00084933688326958
JPM,2025-11-17 00:00:00-05:00,-0.01067152853231168,-0.06254487158880251,-0.05213169920006566,0.013095275393424461,0.6514685505229991,-7.993654923330852e-05,-3.204943158995716e-05,-1.5267298138377807e-05,-0.00018037364567839747,-0.00014037461790721093,0.00040133534072232726,0.00084933688326958
LNG,2025-11-17 00:00:00-05:00,9.296097511035661e-05,0.007773372223773833,0.017300891559022702,0.010466121818692645,0.31422235645154356,3.5010599995726624e-05,-3.382435585605071e-05,1.3453050283773113e-05,-4.8933196132624594e-05,-3.6853554888522515e-05,0.0007781894266718808,0.00084933688326958
AAPL,2025-11-17 00:00:00-05:00,-0.018171183658773127,-0.021976852081755927,-0.0073117369047837055,0.01009461700050288,-0.3390890073368052,2.42628827686467e-05,-6.183402855800329e-07,-3.144411288450123e-06,-1.0623469629469915e-05,1.1251841338999613e-06,0.0008603387289686266,0.00084933688326958
BATS.L,2025-11-17 19:00:00-05:00,-0.007453720566557465,-0.004581689305246495,-0.027332689486521566,0.013433140461820947,-0.10546844821135452,2.000745752818978e-05,4.770650023370681e-06,-5.1874084310764365e-06,-2.7993792800063464e-05,1.9404939378626e-05,0.0008603387289686266,0.00084933688326958
HSBC,2025-11-18 00:00:00-05:00,-0.022886897709553433,-0.048797254586083416,-0.04053498539759315,0.013993707556037488,1.8803804744018489,-8.175963041842241e-05,-3.204943158995716e-05,1.6880860405485033e-05,-0.00018106914153072658,-0.00017000419941363076,0.00040133534072232726,0.00084933688326958
AZN,2025-11-18 00:00:00-05:00,0.0016778693883521267,0.010608310968643009,0.005163393565788432,0.013353595605182393,1.341733932014531,4.382994964149261e-05,-2.3181925025170788e-05,4.4339634991644935e-05,-6.298991881375308e-05,-7.314519739191167e-05,0.0007781894266718808,0.00084933688326958
AAPL,2025-11-18 00:00:00-05:00,-7.473646268785217e-05,-0.020186882283213414,-0.028374196398160745,0.010095241777513803,-0.2758245694008247,4.0591841003071543e-05,2.9744943777780043e-06,-1.4287772189428768e-06,-1.1180689603077646e-05,-1.9955022859782275e-05,0.0008603387289686266,0.00084933688326958
NVDA,2025-11-18 00:00:00-05:00,-0.028081496281955776,-0.02943380664128281,-0.06108927244087625,0.02889444479291869,0.4088265350835269,2.5182325292314004e-05,9.240362963782175e-07,0.00028024883662627876,0.0004809640100100025,0.0002089953097492213,0.0018456514012437748,0.00084933688326958
BP,2025-11-18 00:00:00-05:00,0.005205441827643265,0.019421451908222753,-0.004051076996039904,0.013674708144311409,0.32117814907024056,5.7463416434663156e-05,0.0001285998221623354,3.780993123783705e-05,-4.673327742101508e-05,5.901960865474749e-05,0.0010854963843381466,0.00084933688326958
JPM,2025-11-18 00:00:00-05:00,-0.0031960561426512824,-0.0325385471135019,-0.05135922494175782,0.012484934664136232,0.4395822056302064,0.00015822885448987694,5.306558985114103e-05,2.8387535783045064e-05,-6.697548618088699e-05,2.782541583105077e-05,0.0010498687930438066,0.00084933688326958
LNG,2025-11-18 00:00:00-05:00,-0.012778216226981831,-0.00393809810535628,0.0021698429899394966,0.010694177007937712,-0.5896078028014411,2.5543264559333915e-05,-3.084749218911042e-05,3.6756661421924844e-06,-3.138312075358978e-05,4.401352794022056e-05,0.0008603387289686266,0.00084933688326958
MSFT,2025-11-18 00:00:00-05:00,-0.026995548838964045,-0.018875769257732822,-0.029271779707833345,0.014244668736396657,1.2028181033637302,-8.175963041842241e-05,-3.204943158995716e-05,1.6880860405485033e-05,-0.00018106914153072658,-0.00017000419941363076,0.00040133534072232726,0.00084933688326958
BLK,2025-11-18 00:00:00-05:00,-0.0045516336254533,-0.04722103849851744,-0.06135794290253971,0.01198064586336479,0.7244978033746908,5.816539846491233e-05,9.696778285395383e-06,0.00027451452110559597,-4.192855182292446e-05,-2.3613487119948164e-05,0.0011261715421826111,0.00084933688326958
SHEL,2025-11-18 00:00:00-05:00,-0.0011936865446118272,0.001409536926438415,-0.012764510444399524,0.0103614695406675,1.109172482640743,1.3967323648688816e-05,-0.00028083363224848157,3.909792717065776e-06,-7.49528654840587e-05,-0.0002333487318155275,0.00027807877008726616,0.00084933688326958
BATS.L,2025-11-18 19:00:00-05:00,0.010901178868083727,0.024803533827620683,-0.016033936987654762,0.013045940573067407,-0.12818420116745344,3.823222009589917e-05,2.5147039317426788e-05,-8.608311506224752e-07,-1.5941621099852707e-05,-3.557496146380421e-05,0.0008603387289686266,0.00084933688326958
NVDA,2025-11-19 00:00:00-05:00,0.02845170449645229,-0.019193347095922575,-0.0375645365377002,0.029525531539379122,0.9813972211965631,0.00014102237143395592,2.8507281242629415e-06,0.0001674380815417566,0.00048704293923500333,0.00019796039763921554,0.0018456514012437748,0.00084933688326958
BLK,2025-11-19 00:00:00-05:00,-0.004376257657277227,-0.040890752381773865,-0.07244529560049273,0.011929226297336483,1.074661086957132,5.816539846491233e-05,9.696778285395383e-06,0.00027451452110559597,-4.192855182292446e-05,-2.3613487119948164e-05,0.0011261715421826111,0.00084933688326958
SHEL,2025-11-19 00:00:00-05:00,-0.021776649087957622,-0.027587168800852768,-0.026679816199528306,0.010153140826046915,1.2353367828959598,-2.6419612273655616e-05,2.2057206373706484e-05,4.4583456576338365e-05,-2.7852804031072695e-05,-6.259078844645055e-05,0.0007991143414684454,0.00084933688326958
HSBC,2025-11-19 00:00:00-05:00,-0.006466402815388128,-0.04713338318656357,-0.059191707723067366,0.01412827779549131,0.0736803133788407,2.3621153200723235e-05,-4.055478399850414e-06,0.000258696896002764,-3.599139385944668e-05,3.4563481968841953e-05,0.0011261715421826111,0.00084933688326958
BP,2025-11-19 00:00:00-05:00,-0.02016892590535102,-0.015877307301913723,-0.01116574044655827,0.01303704682672483,-0.16415639666921433,1.9918931761280424e-05,-4.852973102015286e-06,-5.1874084310764365e-06,-2.8214142412492878e-05,2.9337437883350734e-05,0.0008603387289686266,0.00084933688326958
JPM,2025-11-19 00:00:00-05:00,0.012891970009245135,-0.0011198486432325572,-0.05349401380475882,0.012522942542138748,-1.1785917519112612,2.7269996233546185e-05,-3.34847345617798e-05,2.7688661923877712e-05,-3.707048259705352e-05,2.6598404700456115e-05,0.0008603387289686266,0.00084933688326958
MSFT,2025-11-19 00:00:00-05:00,-0.013507811998847874,-0.04519970728164768,-0.0469930547459535,0.014331401260030747,-0.30332870180150545,1.9918931761280424e-05,-4.852973102015286e-06,-5.1874084310764365e-06,-2.8214142412492878e-05,2.9337437883350734e-05,0.0008603387289686266,0.00084933688326958
LNG,2025-11-19 00:00:00-05:00,-0.013367276225800473,-0.025884136163506932,-0.018403221158548977,0.010578378615413176,-0.14940977192428478,2.42628827686467e-05,-6.183402855800329e-07,-3.144411288450123e-06,-1.0623469629469915e-05,1.1251841338999613e-06,0.0008603387289686266,0.00084933688326958
